iter	RMSE
1245	0.0806182332
1246	0.08058850447
1247	0.08056131536
1248	0.0805387812
1249	0.08050334029
1250	0.08050220396
1251	0.08049808584
1252	0.0804973273
1253	0.08047866793
1254	0.08045908391
1255	0.08041636514
1256	0.08038081997
1257	0.08037634318
1258	0.08034891896
1259	0.08028874938
1260	0.0802720942
1261	0.08020640665
1262	0.08019084686
1263	0.08018649134
1264	0.08014461049
1265	0.08011445152
1266	0.08010281679
1267	0.08006365373
1268	0.08005368985
1269	0.08005289074
1270	0.08003333364
1271	0.07999876236
1272	0.07997525569
1273	0.0799623769
1274	0.07993135556
1275	0.07993070572
1276	0.07991625792
1277	0.07989895264
1278	0.07987735703
1279	0.07986280635
1280	0.07984321603
1281	0.07982055443
1282	0.07980052381
1283	0.07978641103
1284	0.0797737916
1285	0.07976396738
1286	0.07975227187
1287	0.07975135473
1288	0.07972259353
1289	0.079695615
1290	0.07964675916
1291	0.07962520158
1292	0.07959967356
1293	0.07959894321
1294	0.07954761497
1295	0.07954105493
1296	0.07952378239
1297	0.07950555735
1298	0.07944737152
1299	0.07944612486
1300	0.07942722424
1301	0.07937431217
1302	0.07936944949
1303	0.0793560676
1304	0.07932112119
1305	0.07929671464
1306	0.07928170692
1307	0.07925038049
1308	0.07924062459
1309	0.079232303
1310	0.07922291367
1311	0.07920044389
1312	0.07916023137
1313	0.07914789486
1314	0.079118872
1315	0.07911518084
1316	0.0790661319
1317	0.07903208055
1318	0.07900826529
1319	0.07898232557
1320	0.07897282446
1321	0.07895521361
1322	0.07892517617
1323	0.07891625137
1324	0.07890615397
1325	0.07888391479
1326	0.07887896232
1327	0.07885202697
1328	0.07882836596
1329	0.07880349413
1330	0.07879540654
1331	0.07877759484
1332	0.07877410841
1333	0.07875050394
1334	0.07871113842
1335	0.07868372227
1336	0.07865026719
1337	0.07863240042
1338	0.07861636524
1339	0.07858700782
1340	0.07857801466
1341	0.07856469854
1342	0.07856108388
1343	0.07854800557
1344	0.07853103337
1345	0.07852012177
1346	0.07851258832
1347	0.078508923
1348	0.07849920618
1349	0.07847022969
1350	0.07843649428
1351	0.07840436103
1352	0.07837693068
1353	0.07836084912
1354	0.07834026812
1355	0.07831080579
1356	0.07828107498
1357	0.07825692505
1358	0.07822881755
1359	0.07817676104
1360	0.07814726019
1361	0.07812949573
1362	0.07811117364
1363	0.07808937133
1364	0.07806657611
1365	0.07806031563
1366	0.07802621582
1367	0.07802016627
1368	0.07799596219
1369	0.07796923184
1370	0.07795123525
1371	0.07794795978
1372	0.07793445456
1373	0.07790685241
1374	0.07787945355
1375	0.07786058247
1376	0.0778489283
1377	0.0778431169
1378	0.07779141817
1379	0.07776263955
1380	0.07772470914
1381	0.07771998429
1382	0.07770624092
1383	0.07767819367
1384	0.07765716008
1385	0.07760869259
1386	0.07758183225
1387	0.07756835516
1388	0.07756270897
1389	0.07752925345
1390	0.07750253836
1391	0.07748970899
1392	0.07747205017
1393	0.07746220166
1394	0.07744851838
1395	0.07743614017
1396	0.07741212072
1397	0.07740725581
1398	0.07739239313
1399	0.07738211334
1400	0.07736885022
1401	0.07733863953
1402	0.07731617615
1403	0.07728436228
1404	0.07727716155
1405	0.07726789135
1406	0.07725802452
1407	0.07723578886
1408	0.07717729235
1409	0.07716013861
1410	0.07715027537
1411	0.07714525305
1412	0.07712444253
1413	0.0770775007
1414	0.07704509246
1415	0.07703302652
1416	0.07699725525
1417	0.07698805838
1418	0.07696785092
1419	0.07694975105
1420	0.07691870168
1421	0.07690350472
1422	0.07689387616
1423	0.07686751072
1424	0.07685863019
1425	0.0768268392
1426	0.07680467046
1427	0.07677886384
1428	0.07676209482
1429	0.07675647865
1430	0.07675218143
1431	0.07674727732
1432	0.07674427944
1433	0.07672238013
1434	0.07671722325
1435	0.07669836045
1436	0.07668305704
1437	0.07665982922
1438	0.07663154658
1439	0.07661909609
1440	0.07660953375
1441	0.0765979453
1442	0.07657424219
1443	0.07653366312
1444	0.07652505623
1445	0.07651682603
1446	0.07648608868
1447	0.07642255175
1448	0.0763599395
1449	0.07634607085
1450	0.07633352639
1451	0.07631295382
1452	0.07630903433
1453	0.07629928881
1454	0.07627056967
1455	0.07625007432
1456	0.07624571222
1457	0.07623681845
1458	0.07620858127
1459	0.07618582237
1460	0.07618117128
1461	0.0761659915
1462	0.0761431135
1463	0.076125371
1464	0.0760878259
1465	0.07606393661
1466	0.07605956489
1467	0.07604063861
1468	0.07603997194
1469	0.07602501689
1470	0.07600452367
1471	0.07600369691
1472	0.0760003019
1473	0.0759916999
1474	0.07598972154
1475	0.07598360338
1476	0.07597550409
1477	0.07596707703
1478	0.07594496095
1479	0.07592411875
1480	0.07591355771
1481	0.07588304376
1482	0.0758755286
1483	0.07584455092
1484	0.07583395925
1485	0.07581723158
1486	0.0758000822
1487	0.07577310041
1488	0.0757515455
1489	0.07573609697
1490	0.07572840417
1491	0.07570115853
1492	0.07567033061
1493	0.07561158218
1494	0.0755710931
1495	0.07556687762
1496	0.07553889103
1497	0.07553018566
1498	0.07552771276
1499	0.0755164104
1500	0.07548950989
1501	0.07546080107
1502	0.07539719314
